"File","Rows","Cols","Extent","Extent_Match","Res_Match","TopRight_NA_Percent","TopRight_NA_Count","Global_NA_Percent"
"bio1.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"bio10.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"bio11.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"bio12.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"bio13.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"bio14.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"bio15.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"bio16.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"bio17.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"bio18.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"bio19.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"bio2.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"bio3.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"bio4.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"bio5.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"bio6.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"bio7.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"bio8.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"bio9.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"Cos_aspect.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.7666877855407
"dist_Albany_thckets.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"dist_Alexandria_grassland.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"dist_Alluvial_plains.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"dist_Estuary_wetlands.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"dist_False_fynbos.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"dist_Freshwater_wetland.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"dist_Grassland_Thicket.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"dist_Gymnosporia_srubveld.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"dist_Shrub_Forest.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"dist_Valley_Thicket.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"dist_water_Sources.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3181054626196
"Elevation.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.0776118622197
"EVI_2024.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.1004260587531
"ForestCover.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.0776118622197
"LandCover.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.0776118622197
"LST_2024.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.0850228432592
"NDVI_2024.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.1004260587531
"Slope.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.3004498901431
"TRI.tif",1018,1352,"26.4903295818722,26.6117818082851,-33.6472074504524,-33.555758954529",TRUE,TRUE,250000,2500,30.169013961707
